field,value
generated_at,2026-06-13
source,post_repair_admin_reconciliation_export_sanitized
read_only,true
calls_stripe,false
mutates_d1,false
critical_items,0
warning_items,3
member_live_credit_pack_completed,3
member_live_credit_pack_created,10
provider_grant_rows,4
duplicate_idempotency_key_groups,0
negative_balances,0
billing_reviews_blocked,0
billing_reviews_needs_review,0
ledger_linked_without_billing_event,0
repaired_checkout_id,bcs_28816cfe9f76e56339a9dbe5a105b565
repaired_checkout_status,completed
repaired_payment_status,paid
repaired_ledger_entry_id,cl_5f0f971241b265f255405bc5fede1e86
repaired_billing_event_linked,true
repaired_billing_event_verification_status,verified_live_signature
stripe_resend_delivery_result,HTTP 202/2xx
stripe_resend_credits_granted,0
repaired_checkout_repair_eligible,false
repaired_checkout_has_no_critical_reconciliation_item,true
repaired_checkout_has_billing_event_link,true
stripe_resend_did_not_double_grant,true
duplicate_idempotency_groups_found,false
